id_inquilino,horario,ritmo,animacion,nivel_educativo,cine,leer ,deporte ,mascotas,comida,dieta,fumador,visitas,orden,musica_tipo,musica_alta,plan_perfecto,instrumento
71,noche,nocturno,si,secundaria,si,si,si,con mascotas,pedir comida,si,si,si,ordenada,reggaeton,si,casa,si
72,noche,nocturno,si,secundaria,si,no,no,sin mascotas,pedir comida,si,si,si,relajada,reggaeton,si,casa,si
73,noche,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,si
74,noche,madrugador,si,universitaria,si,no,no,con mascotas,cocinar,no,no,si,ordenada,pop,no,casa,no
75,noche,nocturno,no,secundaria,si,si,si,con mascotas,pedir comida,si,no,si,relajada,reggaeton,si,salir,si
76,mañana,madrugador,si,secundaria,no,no,si,con mascotas,cocinar,no,si,no,ordenada,rock,no,casa,no
77,mañana,madrugador,si,universitaria,si,no,no,sin mascotas,cocinar,no,no,no,ordenada,pop,no,casa,no
78,noche,madrugador,no,universitaria,no,si,si,con mascotas,cocinar,si,si,si,ordenada,clasica,si,salir,si
79,mañana,madrugador,si,universitaria,si,no,no,con mascotas,cocinar,no,no,si,ordenada,pop,no,casa,no
80,noche,madrugador,no,universitaria,si,si,no,con mascotas,cocinar,si,si,si,relajada,clasica,no,casa,si
81,noche,nocturno,no,secundaria,si,si,no,con mascotas,pedir comida,si,si,si,ordenada,reggaeton,no,salir,si
82,noche,nocturno,no,secundaria,si,no,no,con mascotas,pedir comida,si,si,si,relajada,rock,si,salir,si
83,mañana,madrugador,si,universitaria,no,no,si,sin mascotas,cocinar,si,no,no,relajada,clasica,si,casa,si
84,noche,nocturno,si,secundaria,no,si,no,con mascotas,pedir comida,no,si,si,relajada,reggaeton,no,salir,si
85,noche,nocturno,no,universitaria,si,si,si,con mascotas,pedir comida,si,si,si,relajada,pop,no,casa,si
86,mañana,madrugador,si,universitaria,si,no,si,sin mascotas,cocinar,si,no,no,relajada,pop,no,casa,no
87,mañana,madrugador,si,primaria,si,no,si,sin mascotas,cocinar,no,no,no,ordenada,rock,no,casa,no
88,noche,nocturno,no,universitaria,no,si,si,con mascotas,pedir comida,si,si,si,ordenada,clasica,si,salir,si
89,noche,nocturno,no,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,relajada,reggaeton,si,salir,si
90,noche,madrugador,si,universitaria,no,no,si,con mascotas,cocinar,no,no,no,ordenada,pop,no,salir,no
91,noche,nocturno,no,universitaria,si,no,no,con mascotas,pedir comida,no,si,no,ordenada,rock,si,salir,si
92,noche,nocturno,si,primaria,si,si,no,con mascotas,pedir comida,si,si,si,ordenada,reggaeton,no,salir,si
93,mañana,madrugador,si,universitaria,no,no,no,sin mascotas,pedir comida,no,no,no,ordenada,pop,si,casa,no
94,mañana,nocturno,si,secundaria,no,si,si,sin mascotas,cocinar,no,no,no,ordenada,pop,no,casa,no
95,mañana,madrugador,si,secundaria,si,no,si,sin mascotas,cocinar,no,no,no,relajada,pop,no,casa,no
96,mañana,madrugador,si,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,relajada,pop,no,casa,no
97,mañana,madrugador,si,universitaria,no,si,si,con mascotas,pedir comida,si,si,si,relajada,pop,si,salir,si
98,mañana,madrugador,si,primaria,no,no,si,con mascotas,cocinar,no,no,si,relajada,pop,no,casa,no
99,noche,nocturno,si,primaria,si,no,si,sin mascotas,cocinar,no,no,no,ordenada,rock,no,casa,no
100,noche,nocturno,si,primaria,si,no,si,sin mascotas,pedir comida,no,no,no,relajada,rock,si,salir,no
101,noche,madrugador,no,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,clasica,no,salir,si
102,mañana,nocturno,no,primaria,no,no,no,sin mascotas,cocinar,no,no,no,ordenada,rock,si,casa,no
103,mañana,madrugador,si,universitaria,no,no,si,sin mascotas,cocinar,no,no,no,relajada,pop,si,casa,no
104,mañana,nocturno,no,secundaria,no,si,si,con mascotas,pedir comida,si,si,si,relajada,reggaeton,si,salir,si
105,mañana,madrugador,no,universitaria,si,si,no,sin mascotas,pedir comida,si,si,si,relajada,pop,si,casa,si
106,mañana,madrugador,si,secundaria,no,no,si,sin mascotas,pedir comida,no,no,no,ordenada,pop,si,casa,no
107,noche,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,si
108,mañana,madrugador,si,universitaria,no,no,si,con mascotas,cocinar,no,no,no,ordenada,pop,no,salir,no
109,noche,madrugador,si,primaria,no,si,no,sin mascotas,cocinar,no,no,no,ordenada,reggaeton,si,casa,no
110,mañana,madrugador,si,primaria,no,no,si,sin mascotas,cocinar,no,no,no,ordenada,pop,no,casa,no
111,mañana,nocturno,no,secundaria,si,no,no,con mascotas,pedir comida,no,si,si,ordenada,reggaeton,no,salir,si
112,noche,nocturno,no,secundaria,si,si,si,con mascotas,pedir comida,si,si,si,relajada,clasica,no,salir,si
113,noche,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,no,si,no,relajada,rock,si,casa,si
114,mañana,nocturno,no,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,ordenada,clasica,si,casa,si
115,noche,nocturno,no,secundaria,si,si,no,sin mascotas,pedir comida,no,si,si,relajada,reggaeton,si,salir,si
116,mañana,madrugador,si,universitaria,no,si,si,sin mascotas,cocinar,si,no,no,relajada,pop,no,salir,no
117,noche,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,si,si,no,relajada,reggaeton,si,salir,si
118,noche,madrugador,si,primaria,no,no,no,sin mascotas,pedir comida,no,no,no,relajada,pop,no,casa,no
119,noche,nocturno,si,universitaria,no,si,si,con mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,no
120,noche,madrugador,no,universitaria,no,no,no,con mascotas,pedir comida,si,si,si,relajada,pop,si,salir,si
121,mañana,madrugador,si,universitaria,no,no,si,sin mascotas,cocinar,no,no,si,ordenada,pop,no,casa,no
122,mañana,madrugador,no,universitaria,no,si,no,sin mascotas,cocinar,no,no,no,ordenada,clasica,no,casa,no
123,noche,madrugador,no,secundaria,si,si,no,con mascotas,cocinar,si,si,si,ordenada,clasica,si,salir,si
124,mañana,madrugador,si,primaria,no,si,si,sin mascotas,cocinar,si,no,no,ordenada,rock,no,casa,no
125,noche,madrugador,no,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,ordenada,clasica,si,salir,si
126,mañana,madrugador,si,universitaria,no,no,si,sin mascotas,cocinar,no,no,no,relajada,pop,no,casa,no
127,mañana,madrugador,si,primaria,no,no,si,sin mascotas,cocinar,no,si,no,relajada,rock,no,casa,no
128,mañana,madrugador,si,universitaria,no,no,no,sin mascotas,pedir comida,no,si,si,ordenada,pop,no,casa,no
129,noche,madrugador,no,primaria,si,si,no,con mascotas,pedir comida,no,si,si,relajada,reggaeton,si,salir,si
130,noche,nocturno,no,secundaria,si,si,si,con mascotas,pedir comida,no,si,si,relajada,reggaeton,no,salir,no
131,mañana,madrugador,si,primaria,no,no,si,con mascotas,cocinar,no,no,no,ordenada,rock,si,casa,no
132,mañana,madrugador,si,universitaria,si,no,no,sin mascotas,cocinar,no,no,no,ordenada,rock,no,casa,no
133,noche,nocturno,no,universitaria,si,no,no,sin mascotas,pedir comida,si,si,si,ordenada,clasica,si,salir,si
134,mañana,madrugador,si,universitaria,si,no,si,sin mascotas,cocinar,si,no,no,ordenada,pop,no,casa,no
135,noche,madrugador,si,primaria,no,no,si,con mascotas,pedir comida,no,si,no,ordenada,rock,no,casa,no
136,noche,madrugador,no,primaria,si,si,si,sin mascotas,cocinar,no,no,no,ordenada,pop,no,salir,no
137,noche,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,no,si,si,relajada,clasica,si,salir,si
138,noche,nocturno,si,universitaria,no,si,no,con mascotas,pedir comida,si,si,no,relajada,clasica,no,salir,no
139,mañana,madrugador,si,universitaria,no,no,si,sin mascotas,pedir comida,no,no,si,relajada,pop,si,casa,no
140,noche,nocturno,si,universitaria,si,si,si,con mascotas,pedir comida,si,si,si,ordenada,clasica,si,salir,si
141,mañana,madrugador,si,primaria,no,no,si,sin mascotas,pedir comida,no,si,no,ordenada,rock,no,casa,no
142,noche,nocturno,si,primaria,si,no,no,sin mascotas,cocinar,no,no,no,ordenada,rock,si,casa,no
143,noche,nocturno,si,secundaria,si,no,si,con mascotas,cocinar,si,si,no,relajada,reggaeton,si,salir,si
144,noche,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,si
145,noche,madrugador,no,universitaria,si,si,no,con mascotas,pedir comida,no,no,si,ordenada,clasica,si,salir,si
146,mañana,madrugador,no,primaria,no,no,si,con mascotas,cocinar,no,no,no,ordenada,rock,no,casa,no
147,mañana,madrugador,si,universitaria,no,no,no,sin mascotas,cocinar,no,no,no,ordenada,pop,no,casa,no
148,noche,nocturno,si,universitaria,no,no,si,sin mascotas,cocinar,no,no,si,ordenada,pop,no,casa,no
149,mañana,madrugador,si,primaria,no,si,si,con mascotas,cocinar,no,no,no,relajada,rock,no,casa,no
150,noche,nocturno,no,universitaria,no,si,no,sin mascotas,pedir comida,si,si,si,ordenada,clasica,si,salir,si
151,mañana,nocturno,no,secundaria,no,si,si,con mascotas,pedir comida,si,si,no,ordenada,reggaeton,si,salir,no
152,mañana,madrugador,si,primaria,no,no,si,sin mascotas,pedir comida,si,no,no,ordenada,rock,no,salir,no
153,noche,nocturno,no,universitaria,no,si,no,sin mascotas,pedir comida,no,no,si,relajada,reggaeton,si,casa,si
154,mañana,madrugador,no,universitaria,no,no,si,sin mascotas,pedir comida,no,no,no,ordenada,pop,no,casa,no
155,mañana,madrugador,no,primaria,no,no,si,sin mascotas,cocinar,no,no,no,ordenada,pop,no,casa,no
156,mañana,madrugador,si,secundaria,si,no,si,sin mascotas,pedir comida,no,no,no,ordenada,rock,no,casa,no
157,noche,madrugador,no,secundaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,pop,si,salir,si
158,noche,madrugador,no,universitaria,si,si,si,con mascotas,pedir comida,si,no,no,relajada,clasica,no,casa,si
159,noche,nocturno,no,universitaria,si,si,si,sin mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,no
160,mañana,madrugador,si,universitaria,si,no,si,sin mascotas,cocinar,no,no,si,ordenada,pop,no,casa,no
161,mañana,nocturno,si,primaria,no,no,si,sin mascotas,cocinar,no,no,si,relajada,rock,si,casa,no
162,mañana,madrugador,si,universitaria,no,no,no,sin mascotas,cocinar,no,no,no,ordenada,clasica,si,casa,no
163,mañana,madrugador,si,universitaria,no,no,si,sin mascotas,cocinar,si,no,no,ordenada,pop,no,casa,no
164,noche,madrugador,si,primaria,no,si,no,sin mascotas,pedir comida,no,no,si,relajada,pop,no,casa,no
165,noche,nocturno,si,primaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,reggaeton,si,salir,si
166,noche,nocturno,no,universitaria,si,si,no,sin mascotas,pedir comida,si,si,si,relajada,clasica,si,casa,no
167,mañana,nocturno,si,secundaria,si,si,no,con mascotas,pedir comida,no,no,no,relajada,reggaeton,si,salir,si
168,noche,nocturno,no,universitaria,si,si,no,sin mascotas,pedir comida,si,si,si,relajada,clasica,si,casa,si
169,noche,madrugador,no,secundaria,no,no,si,sin mascotas,pedir comida,no,no,no,ordenada,rock,no,casa,no
170,noche,madrugador,si,primaria,no,no,si,con mascotas,cocinar,si,si,si,ordenada,rock,no,casa,no
171,noche,madrugador,si,primaria,no,no,si,sin mascotas,cocinar,no,si,si,ordenada,rock,no,casa,no
172,noche,nocturno,no,secundaria,si,si,no,con mascotas,cocinar,si,si,si,ordenada,reggaeton,si,salir,no
173,noche,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,si,no,si,ordenada,clasica,no,salir,si
174,noche,madrugador,no,secundaria,no,si,no,con mascotas,pedir comida,no,si,si,relajada,reggaeton,si,salir,si
175,noche,nocturno,no,secundaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,no
176,mañana,madrugador,si,primaria,si,si,si,sin mascotas,cocinar,no,si,si,ordenada,clasica,no,casa,si
177,noche,nocturno,no,primaria,si,no,si,con mascotas,pedir comida,si,no,si,relajada,clasica,si,salir,si
178,noche,nocturno,si,primaria,no,no,si,sin mascotas,cocinar,si,si,si,ordenada,rock,no,casa,no
179,mañana,madrugador,no,secundaria,si,si,no,con mascotas,pedir comida,no,si,no,ordenada,reggaeton,si,salir,si
180,noche,nocturno,no,universitaria,si,si,si,con mascotas,pedir comida,si,si,si,relajada,clasica,no,salir,no
181,noche,nocturno,no,secundaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,reggaeton,si,salir,si
182,noche,madrugador,si,primaria,no,si,si,con mascotas,cocinar,no,no,no,relajada,pop,si,salir,no
183,mañana,nocturno,no,universitaria,no,no,no,con mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,si
184,noche,nocturno,no,secundaria,si,si,no,con mascotas,pedir comida,no,si,si,ordenada,reggaeton,si,salir,si
185,mañana,nocturno,si,secundaria,si,si,si,con mascotas,pedir comida,si,no,si,relajada,reggaeton,si,casa,si
186,mañana,nocturno,si,secundaria,no,no,si,sin mascotas,cocinar,no,no,no,ordenada,rock,no,casa,no
187,noche,madrugador,si,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,si
188,mañana,madrugador,si,primaria,no,no,no,sin mascotas,cocinar,no,si,si,ordenada,rock,no,salir,no
189,mañana,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,si,no,si,relajada,clasica,si,casa,si
190,mañana,madrugador,si,secundaria,si,no,si,sin mascotas,cocinar,no,no,no,ordenada,pop,no,casa,no
191,mañana,madrugador,si,universitaria,no,no,si,sin mascotas,pedir comida,no,si,no,ordenada,pop,no,casa,no
192,mañana,madrugador,si,secundaria,no,no,si,sin mascotas,pedir comida,no,no,no,ordenada,rock,no,casa,no
193,noche,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,no,si,si,ordenada,pop,si,salir,si
194,noche,nocturno,no,secundaria,si,no,si,con mascotas,pedir comida,no,no,si,ordenada,reggaeton,si,salir,si
195,mañana,madrugador,no,primaria,no,no,si,sin mascotas,pedir comida,no,si,no,ordenada,reggaeton,si,casa,no
196,noche,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,no
197,noche,nocturno,no,universitaria,si,si,si,con mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,si
198,mañana,nocturno,no,secundaria,no,si,si,con mascotas,pedir comida,no,si,si,relajada,clasica,si,salir,si
199,noche,nocturno,si,universitaria,no,si,no,sin mascotas,pedir comida,si,si,si,relajada,clasica,no,salir,si
200,mañana,nocturno,no,universitaria,si,si,si,con mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,si
201,mañana,madrugador,si,universitaria,si,no,si,sin mascotas,cocinar,no,si,no,relajada,pop,si,casa,no
202,noche,madrugador,no,primaria,si,si,no,sin mascotas,cocinar,si,si,si,relajada,clasica,si,salir,si
203,mañana,madrugador,si,primaria,no,no,si,sin mascotas,cocinar,no,si,si,ordenada,pop,si,casa,no
204,mañana,nocturno,no,universitaria,si,si,no,sin mascotas,pedir comida,si,no,si,relajada,pop,si,salir,si
205,mañana,madrugador,si,universitaria,no,si,si,sin mascotas,cocinar,no,no,no,ordenada,pop,no,casa,no
206,mañana,madrugador,si,universitaria,no,no,si,sin mascotas,cocinar,si,no,no,relajada,rock,si,casa,no
207,mañana,nocturno,si,primaria,si,no,si,sin mascotas,pedir comida,si,no,no,ordenada,rock,no,casa,no
208,noche,madrugador,si,primaria,no,si,si,sin mascotas,cocinar,no,no,no,relajada,pop,si,casa,no
209,noche,nocturno,no,secundaria,si,no,si,con mascotas,cocinar,no,no,no,ordenada,rock,no,casa,no
210,noche,nocturno,no,secundaria,si,si,si,con mascotas,pedir comida,si,no,si,relajada,reggaeton,si,salir,si
211,mañana,nocturno,no,secundaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,reggaeton,no,salir,si
212,mañana,madrugador,si,universitaria,no,no,si,sin mascotas,cocinar,no,no,no,ordenada,rock,no,casa,no
213,mañana,nocturno,si,universitaria,no,no,si,sin mascotas,pedir comida,no,no,no,ordenada,pop,no,casa,no
214,noche,nocturno,no,secundaria,si,si,no,con mascotas,pedir comida,no,si,si,relajada,reggaeton,si,salir,si
215,noche,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,no,si,si,relajada,clasica,si,casa,si
216,noche,nocturno,no,secundaria,si,si,no,con mascotas,pedir comida,no,si,si,relajada,reggaeton,no,casa,si
217,mañana,madrugador,si,universitaria,no,no,no,con mascotas,pedir comida,no,si,si,relajada,pop,si,salir,no
218,noche,nocturno,si,secundaria,si,si,si,con mascotas,pedir comida,si,si,si,relajada,reggaeton,si,salir,si
219,noche,nocturno,no,primaria,si,no,no,con mascotas,pedir comida,si,si,si,relajada,reggaeton,si,casa,si
220,mañana,madrugador,si,primaria,si,si,si,sin mascotas,cocinar,no,no,si,ordenada,rock,si,casa,no
221,noche,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,si
222,noche,nocturno,no,secundaria,si,si,si,con mascotas,pedir comida,no,no,si,relajada,reggaeton,si,salir,si
223,mañana,madrugador,si,primaria,si,no,no,sin mascotas,pedir comida,no,no,no,ordenada,rock,no,casa,no
224,noche,nocturno,si,universitaria,si,si,si,con mascotas,pedir comida,no,si,si,ordenada,clasica,si,salir,si
225,noche,nocturno,no,secundaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,reggaeton,si,salir,si
226,mañana,nocturno,si,universitaria,no,no,no,sin mascotas,cocinar,si,no,no,ordenada,rock,no,salir,si
227,noche,madrugador,si,secundaria,si,si,si,con mascotas,pedir comida,si,si,si,relajada,reggaeton,si,salir,si
228,mañana,nocturno,si,primaria,no,no,no,sin mascotas,cocinar,no,no,no,ordenada,rock,si,casa,no
229,noche,nocturno,si,universitaria,si,si,no,con mascotas,pedir comida,no,si,si,relajada,pop,si,salir,si
230,mañana,madrugador,si,primaria,no,no,si,sin mascotas,cocinar,si,no,no,ordenada,rock,si,casa,no
231,noche,nocturno,no,secundaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,pop,si,salir,si
232,noche,nocturno,no,secundaria,si,si,no,con mascotas,pedir comida,no,si,no,relajada,reggaeton,si,salir,si
233,noche,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,ordenada,reggaeton,si,salir,no
234,mañana,madrugador,no,universitaria,si,no,no,con mascotas,cocinar,si,no,no,ordenada,reggaeton,no,casa,no
235,noche,nocturno,no,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,relajada,reggaeton,no,salir,si
236,noche,nocturno,no,universitaria,no,si,no,con mascotas,pedir comida,si,si,no,ordenada,clasica,si,salir,si
237,noche,madrugador,no,universitaria,si,si,si,con mascotas,cocinar,no,si,si,relajada,clasica,si,salir,si
238,mañana,madrugador,si,universitaria,no,no,si,sin mascotas,pedir comida,no,no,no,relajada,pop,no,casa,no
